GroupName,ReferenceDate,FlowBreakdown,UnitMeasure,ObservedValue,GeneralizedSource,RunDate
Africa,2010-01-01,CLOSTLV,KBBL,130505.0,OilX,2025-02-19
Africa,2010-02-01,CLOSTLV,KBBL,122707.0,OilX,2025-02-19
Africa,2010-03-01,CLOSTLV,KBBL,133444.0,OilX,2025-02-19
Africa,2010-04-01,CLOSTLV,KBBL,135613.0,OilX,2025-02-19
Africa,2010-05-01,CLOSTLV,KBBL,138833.0,OilX,2025-02-19
Africa,2010-06-01,CLOSTLV,KBBL,131680.0,OilX,2025-02-19
Africa,2010-07-01,CLOSTLV,KBBL,130871.0,OilX,2025-02-19
Africa,2010-08-01,CLOSTLV,KBBL,135030.0,OilX,2025-02-19
Africa,2010-09-01,CLOSTLV,KBBL,142859.0,OilX,2025-02-19
Africa,2010-10-01,CLOSTLV,KBBL,139139.0,OilX,2025-02-19
Africa,2010-11-01,CLOSTLV,KBBL,143011.0,OilX,2025-02-19
Africa,2010-12-01,CLOSTLV,KBBL,139980.0,OilX,2025-02-19
Africa,2011-01-01,CLOSTLV,KBBL,137475.0,OilX,2025-02-19
Africa,2011-02-01,CLOSTLV,KBBL,146610.0,OilX,2025-02-19
Africa,2011-03-01,CLOSTLV,KBBL,145647.0,OilX,2025-02-19
Africa,2011-04-01,CLOSTLV,KBBL,137420.0,OilX,2025-02-19
Africa,2011-05-01,CLOSTLV,KBBL,152691.0,OilX,2025-02-19
Africa,2011-06-01,CLOSTLV,KBBL,151901.0,OilX,2025-02-19
Africa,2011-07-01,CLOSTLV,KBBL,151695.0,OilX,2025-02-19
Africa,2011-08-01,CLOSTLV,KBBL,154195.0,OilX,2025-02-19
Africa,2011-09-01,CLOSTLV,KBBL,155852.0,OilX,2025-02-19
Africa,2011-10-01,CLOSTLV,KBBL,154199.0,OilX,2025-02-19
Africa,2011-11-01,CLOSTLV,KBBL,157547.0,OilX,2025-02-19
Africa,2011-12-01,CLOSTLV,KBBL,149789.0,OilX,2025-02-19
Africa,2012-01-01,CLOSTLV,KBBL,148179.0,OilX,2025-02-19
Africa,2012-02-01,CLOSTLV,KBBL,141919.0,OilX,2025-02-19
Africa,2012-03-01,CLOSTLV,KBBL,146257.0,OilX,2025-02-19
Africa,2012-04-01,CLOSTLV,KBBL,145923.0,OilX,2025-02-19
Africa,2012-05-01,CLOSTLV,KBBL,150471.0,OilX,2025-02-19
Africa,2012-06-01,CLOSTLV,KBBL,140271.0,OilX,2025-02-19
Africa,2012-07-01,CLOSTLV,KBBL,136713.0,OilX,2025-02-19
Africa,2012-08-01,CLOSTLV,KBBL,136458.0,OilX,2025-02-19
Africa,2012-09-01,CLOSTLV,KBBL,137864.0,OilX,2025-02-19
Africa,2012-10-01,CLOSTLV,KBBL,139906.0,OilX,2025-02-19
Africa,2012-11-01,CLOSTLV,KBBL,131572.0,OilX,2025-02-19
Africa,2012-12-01,CLOSTLV,KBBL,136310.0,OilX,2025-02-19
Africa,2013-01-01,CLOSTLV,KBBL,139803.0,OilX,2025-02-19
Africa,2013-02-01,CLOSTLV,KBBL,145680.0,OilX,2025-02-19
Africa,2013-03-01,CLOSTLV,KBBL,148820.0,OilX,2025-02-19
Africa,2013-04-01,CLOSTLV,KBBL,144605.0,OilX,2025-02-19
Africa,2013-05-01,CLOSTLV,KBBL,150223.0,OilX,2025-02-19
Africa,2013-06-01,CLOSTLV,KBBL,148322.0,OilX,2025-02-19
Africa,2013-07-01,CLOSTLV,KBBL,136685.0,OilX,2025-02-19
Africa,2013-08-01,CLOSTLV,KBBL,148786.0,OilX,2025-02-19
Africa,2013-09-01,CLOSTLV,KBBL,143577.0,OilX,2025-02-19
Africa,2013-10-01,CLOSTLV,KBBL,149758.0,OilX,2025-02-19
Africa,2013-11-01,CLOSTLV,KBBL,149804.0,OilX,2025-02-19
Africa,2013-12-01,CLOSTLV,KBBL,140652.0,OilX,2025-02-19
Africa,2014-01-01,CLOSTLV,KBBL,148853.0,OilX,2025-02-19
Africa,2014-02-01,CLOSTLV,KBBL,149467.0,OilX,2025-02-19
Africa,2014-03-01,CLOSTLV,KBBL,148694.0,OilX,2025-02-19
Africa,2014-04-01,CLOSTLV,KBBL,157329.0,OilX,2025-02-19
Africa,2014-05-01,CLOSTLV,KBBL,159209.0,OilX,2025-02-19
Africa,2014-06-01,CLOSTLV,KBBL,162272.0,OilX,2025-02-19
Africa,2014-07-01,CLOSTLV,KBBL,169822.0,OilX,2025-02-19
Africa,2014-08-01,CLOSTLV,KBBL,164495.0,OilX,2025-02-19
Africa,2014-09-01,CLOSTLV,KBBL,173510.0,OilX,2025-02-19
Africa,2014-10-01,CLOSTLV,KBBL,176946.0,OilX,2025-02-19
Africa,2014-11-01,CLOSTLV,KBBL,172991.0,OilX,2025-02-19
Africa,2014-12-01,CLOSTLV,KBBL,178005.0,OilX,2025-02-19
Africa,2015-01-01,CLOSTLV,KBBL,174144.0,OilX,2025-02-19
Africa,2015-02-01,CLOSTLV,KBBL,164598.0,OilX,2025-02-19
Africa,2015-03-01,CLOSTLV,KBBL,169398.0,OilX,2025-02-19
Africa,2015-04-01,CLOSTLV,KBBL,167916.0,OilX,2025-02-19
Africa,2015-05-01,CLOSTLV,KBBL,173999.0,OilX,2025-02-19
Africa,2015-06-01,CLOSTLV,KBBL,173162.0,OilX,2025-02-19
Africa,2015-07-01,CLOSTLV,KBBL,179994.0,OilX,2025-02-19
Africa,2015-08-01,CLOSTLV,KBBL,173964.0,OilX,2025-02-19
Africa,2015-09-01,CLOSTLV,KBBL,175387.0,OilX,2025-02-19
Africa,2015-10-01,CLOSTLV,KBBL,179284.0,OilX,2025-02-19
Africa,2015-11-01,CLOSTLV,KBBL,180249.0,OilX,2025-02-19
Africa,2015-12-01,CLOSTLV,KBBL,181640.0,OilX,2025-02-19
Africa,2016-01-01,CLOSTLV,KBBL,172514.0,OilX,2025-02-19
Africa,2016-02-01,CLOSTLV,KBBL,173426.0,OilX,2025-02-19
Africa,2016-03-01,CLOSTLV,KBBL,172468.0,OilX,2025-02-19
Africa,2016-04-01,CLOSTLV,KBBL,170367.0,OilX,2025-02-19
